timestamp,open,high,low,close,volume,MA50,MA200,RSI
2024-01-01,42283.58,44184.1,42180.77,44179.55,27174.29903,,,
2024-01-02,44179.55,45879.63,44148.34,44946.91,65146.40661,,,
2024-01-03,44946.91,45500.0,40750.0,42845.23,81194.55173,,,
2024-01-04,42845.23,44729.58,42613.77,44151.1,48038.06334,,,
2024-01-05,44151.1,44357.46,42450.0,44145.11,48075.25327,,,
2024-01-06,44145.12,44214.42,43397.05,43968.32,17835.06144,,,
2024-01-07,43968.32,44480.59,43572.09,43929.02,23023.8508,,,
2024-01-08,43929.01,47248.99,43175.0,46951.04,72814.57589,,,
2024-01-09,46951.04,47972.0,44748.67,46110.0,69927.66617,,,
2024-01-10,46110.0,47695.93,44300.36,46653.99,89911.41203,,,
2024-01-11,46654.0,48969.48,45606.06,46339.16,87470.3296,,,
2024-01-12,46339.16,46515.53,41500.0,42782.73,86327.93707,,,
2024-01-13,42782.74,43257.0,42436.12,42847.99,36118.47464,,,
2024-01-14,42847.99,43079.0,41720.0,41732.35,28228.40894,,,41.16929605519549
2024-01-15,41732.35,43400.43,41718.05,42511.1,40269.89303,,,44.299775537326724
2024-01-16,42511.1,43578.01,42050.0,43137.95,45045.74589,,,43.75981410803036
2024-01-17,43137.94,43198.0,42200.69,42776.1,33266.21388,,,49.72899994590189
2024-01-18,42776.09,42930.0,40683.28,41327.5,43907.51641,,,39.05355677992516
2024-01-19,41327.51,42196.86,40280.0,41659.03,48342.74559,,,40.59932480669868
2024-01-20,41659.03,41872.56,41456.3,41696.04,15923.99493,,,41.31597251415948
2024-01-21,41696.05,41881.39,41500.98,41580.33,11730.16301,,,41.076073501217
2024-01-22,41580.32,41689.65,39431.58,39568.02,55426.19911,,,19.616701509489815
2024-01-23,39568.02,40176.74,38555.0,39897.6,57956.63351,,,23.310626773233963
2024-01-24,39897.59,40555.0,39484.19,40084.88,39293.82861,,,20.885811713378274
2024-01-25,40084.89,40300.24,39550.0,39961.09,31022.11853,,,21.24557845885562
2024-01-26,39961.09,42246.82,39822.52,41823.51,47384.96726,,,44.89590893708136
2024-01-27,41823.51,42200.0,41394.34,42120.63,16224.41667,,,46.222856454420445
2024-01-28,42120.63,42842.68,41620.81,42031.06,27294.99838,,,51.73620758000411
2024-01-29,42031.05,43333.0,41804.88,43302.7,31542.74207,,,54.35171726811547
2024-01-30,43302.71,43882.36,42683.99,42941.1,37619.24546,,,48.885335350696096
2024-01-31,42941.1,43745.11,42276.84,42580.0,39871.13688,,,48.889487907253844
2024-02-01,42580.0,43285.13,41884.28,43082.94,35231.04664,,,61.13349231315643
2024-02-02,43082.95,43488.0,42546.79,43200.0,29672.14418,,,60.046576339167544
2024-02-03,43199.99,43380.01,42880.0,43011.09,12033.40998,,,58.40714074744627
2024-02-04,43011.1,43119.04,42222.0,42582.88,17066.89404,,,56.16306818810526
2024-02-05,42582.88,43569.76,42258.1,42708.7,29467.75905,,,75.13734504661407
2024-02-06,42708.7,43399.98,42574.0,43098.95,24675.85433,,,75.37648370010669
2024-02-07,43098.96,44396.5,42788.0,44349.6,34392.59915,,,78.92873228889118
2024-02-08,44349.6,45614.3,44331.1,45288.65,45439.62231,,,82.53932770933044
2024-02-09,45288.66,48200.0,45242.12,47132.77,73503.481,,,82.50020812826577
2024-02-10,47132.78,48170.0,46800.0,47751.09,24802.35936,,,83.16233255273735
2024-02-11,47751.08,48592.66,47557.16,48299.99,29958.80837,,,85.02755188817879
2024-02-12,48300.0,50334.82,47710.01,49917.27,59009.96705,,,85.5843584339067
2024-02-13,49917.28,50368.61,48300.95,49699.59,55551.56706,,,86.93046887038551
2024-02-14,49699.6,52043.71,49225.01,51795.17,57046.37401,,,92.33056830782826
2024-02-15,51795.17,52816.62,51314.0,51880.0,53816.03055,,,92.02419874152784
2024-02-16,51880.01,52572.08,51566.0,52124.11,37772.25318,,,92.11985225194948
2024-02-17,52124.1,52162.82,50625.0,51642.64,25674.00622,,,89.64420320274988
2024-02-18,51642.64,52377.0,51163.28,52137.67,21992.10363,,,93.6168697600403
2024-02-19,52137.68,52488.77,51677.0,51774.73,29534.99432,44641.1796,,90.50875720830979
2024-02-20,51774.74,52985.0,50760.37,52258.82,49614.47318,44802.765,,90.58768793119495
2024-02-21,52258.82,52366.8,50625.0,51849.39,43079.40049,44940.8146,,85.90880058374984
2024-02-22,51849.38,52065.78,50940.78,51288.42,35309.44574,45109.6784,,79.80585707543655
2024-02-23,51288.42,51548.54,50521.0,50744.15,30545.79544,45241.539399999994,,70.6013759426805
2024-02-24,50744.15,51698.0,50585.0,51568.22,16560.4211,45390.0016,,71.2756600692258
2024-02-25,51568.21,51958.55,51279.8,51728.85,18721.63159,45545.212199999994,,69.97616045898693
2024-02-26,51728.85,54910.0,50901.44,54476.47,51256.72199,45756.161199999995,,73.47025344084874
2024-02-27,54476.48,57588.15,54450.13,57037.34,67194.98562,45957.887200000005,,80.43216978228938
2024-02-28,57037.35,64000.0,56691.85,62432.1,118763.46984,46284.3292,,84.63649512962806
2024-02-29,62432.11,63676.35,60364.7,61130.98,78425.07603,46573.86899999999,,77.91252146773537
2024-03-01,61130.99,63114.23,60777.0,62387.9,47737.93473,46894.8438,,79.18471081124582
2024-03-02,62387.9,62433.19,61561.12,61987.28,25534.73659,47278.934799999995,,79.55047436660664
2024-03-03,61987.28,63231.88,61320.0,63113.97,28994.90903,47684.254400000005,,80.26275158533227
2024-03-04,63113.97,68499.0,62300.0,68245.71,84835.16005,48214.5216,,85.95687178546792
2024-03-05,68245.71,69000.0,59005.0,63724.01,132696.7813,48638.7798,,71.27800660767198
2024-03-06,63724.01,67641.1,62779.14,66074.04,78738.85491,49097.5016,,74.62545023701605
2024-03-07,66074.04,67980.0,65551.0,66823.17,53059.8869,49578.443,,76.71939998974895
2024-03-08,66823.18,69990.0,66082.66,68124.19,74261.932842,50114.3768,,79.13482183208993
2024-03-09,68124.2,68541.1,67861.1,68313.27,19872.89743,50647.461599999995,,78.6809573741784
2024-03-10,68313.28,69887.61,68094.75,68955.88,38404.66835,51192.6584,,79.02723301378214
2024-03-11,68955.88,72800.0,67024.96,72078.1,75292.825726,51802.6138,,79.28869018796605
2024-03-12,72078.1,73000.0,68620.82,71452.01,68783.546691,52440.293600000005,,75.63635277140384
2024-03-13,71452.0,73650.25,71333.31,73072.41,52659.711647,53103.789800000006,,71.85822804780895
2024-03-14,73072.4,73777.0,68555.0,71388.94,71757.628746,53729.87100000001,,70.74685741930574
2024-03-15,71388.94,72419.71,65600.0,69499.85,103334.03546,54320.6462,,64.02536257749796
2024-03-16,69499.84,70043.0,64780.0,65300.63,55926.95336,54790.1886,,55.68279073245543
2024-03-17,65300.64,68904.4,64533.0,68393.48,49742.21589,55315.6456,,58.48287120424566
2024-03-18,68393.47,68956.0,66565.2,67609.99,55691.08088,55827.2242,,48.81264381555748
2024-03-19,67610.0,68124.11,61555.0,61937.4,101005.32487,56199.9182,,46.80063134618781
2024-03-20,61937.41,68100.0,60775.0,67840.51,90420.58592,56697.9064,,52.80620390495504
2024-03-21,67840.51,68240.47,64529.01,65501.27,53357.48002,57156.3318,,48.001027084049106
2024-03-22,65501.28,66649.62,62260.0,63796.64,51482.37821,57570.6058,,43.53481181627036
2024-03-23,63796.64,65999.0,63000.0,63990.01,26410.11409,57986.405999999995,,43.54204869806091
2024-03-24,63990.02,67628.69,63772.29,67209.99,31395.78015,58470.384000000005,,47.578499157414406
2024-03-25,67210.0,71150.0,66385.06,69880.01,53431.14486,59016.3266,,46.912582467051784
2024-03-26,69880.0,71561.1,69280.0,69988.0,38934.38417,59561.912599999996,,47.91329396555534
2024-03-27,69987.99,71769.54,68359.18,69469.99,49119.35685,60089.333399999996,,44.698746742655196
2024-03-28,69469.99,71552.06,68903.62,70780.6,35439.03239,60617.9534,,49.09484528719625
2024-03-29,70780.6,70916.16,69009.0,69850.54,25445.08353,61109.191199999994,,50.53712386855389
2024-03-30,69850.53,70321.1,69540.0,69582.18,13644.61142,61558.1794,,57.455429017796355
2024-03-31,69582.17,71366.0,69562.99,71280.01,19396.34433,62028.75779999999,,55.28295208257608
2024-04-01,71280.0,71288.23,68062.86,69649.8,41445.32039,62455.754,,53.621048916761715
2024-04-02,69649.81,69674.23,64550.0,65463.99,71799.82793,62766.6884,,56.60924247064101
2024-04-03,65463.99,66903.63,64493.07,65963.28,39887.21778,63091.962199999994,,45.58826363393233
2024-04-04,65963.27,69309.91,65064.52,68487.79,41510.48453,63425.8146,,56.958120618731556
2024-04-05,68487.8,68756.67,65952.56,67820.62,37915.23073,63744.627,,59.8514827730397
2024-04-06,67820.63,69692.0,67447.83,68896.0,20134.28919,64080.06480000001,,61.51358140700663
2024-04-07,68896.0,70326.29,68824.0,69360.39,21534.74433,64434.419799999996,,55.796338904690316
2024-04-08,69360.38,72797.99,69043.24,71620.0,45723.87624,64824.066399999996,,54.79620689522103
2024-04-09,71620.0,71758.19,68210.0,69146.0,39293.90242,65171.491799999996,,47.94686626442802
2024-04-10,69146.0,71172.08,67518.0,70631.08,42006.02377,65538.937,,52.70369140534949
2024-04-11,70631.08,71305.89,69567.21,70006.23,31917.25595,65902.0738,,48.137329186421
2024-04-12,70006.22,71227.46,65086.86,67116.52,56072.86229,66218.6358,,43.990160993924285
2024-04-13,67116.52,67929.0,60660.57,63924.51,71395.22019,66482.243,,38.97993170976848
2024-04-14,63924.52,65840.0,62134.0,65661.84,61599.17818,66764.1154,,39.073683309768626
2024-04-15,65661.85,66867.07,62274.4,63419.99,52389.53069,66997.93819999999,,38.16569969442638
2024-04-16,63419.99,64365.0,61600.0,63793.39,53435.29331,67184.2766,,46.28897069473064
2024-04-17,63793.4,64499.0,59678.16,61277.37,50610.54509,67269.0772,,40.4467874208318
2024-04-18,61277.38,64117.09,60803.35,63470.08,43601.60918,67289.8368,,39.6300495463453
2024-04-19,63470.09,65450.0,59600.01,63818.01,69774.30271,67343.57740000001,,41.61731437233475
2024-04-20,63818.01,65419.0,63090.07,64940.59,23137.42975,67394.6312,,41.732510585678874
2024-04-21,64940.58,65695.56,64237.5,64941.15,19316.42152,67453.7086,,40.58038234025248
2024-04-22,64941.15,67232.35,64500.0,66819.32,31397.99371,67527.8156,,39.59820074362331
2024-04-23,66819.32,67183.01,65765.81,66414.0,22599.90004,67491.1814,,43.4975665856798
2024-04-24,66414.0,67070.43,63606.06,64289.59,33595.69637,67502.493,,35.352395383161976
2024-04-25,64289.58,65297.94,62794.0,64498.34,31341.46338,67470.979,,37.02850817799654
2024-04-26,64498.33,64820.01,63297.48,63770.01,27085.19346,67409.9158,,41.225431149534565
2024-04-27,63770.0,63923.41,62391.24,63461.98,20933.06052,67316.6716,,48.57114966028005
2024-04-28,63461.98,64370.0,62781.0,63118.62,16949.20005,67212.7786,,41.40305663688816
2024-04-29,63118.62,64228.35,61765.53,63866.0,28150.22947,67110.981,,51.677113924621814
2024-04-30,63866.0,64734.0,59191.6,60672.0,54947.65535,66882.859,,40.31679752816029
2024-05-01,60672.01,60841.63,56552.82,58364.97,81166.46823,66621.1182,,40.84643738968203
2024-05-02,58364.97,59625.0,56911.84,59060.61,47583.81961,66340.8822,,34.70154716826643
2024-05-03,59060.6,63333.0,58811.32,62882.01,43628.40143,66170.74359999999,,47.38327622762366
2024-05-04,62882.01,64540.0,62541.03,63892.04,24368.69282,66058.58739999999,,47.050062428224436
2024-05-05,63892.03,64646.0,62822.17,64012.0,18526.75029,66032.8148,,47.403420894811646
2024-05-06,64012.0,65500.0,62700.0,63165.19,34674.91949,65928.249,,39.163604767369776
2024-05-07,63165.18,64422.41,62261.0,62312.08,25598.79472,65822.2908,,38.15038386340841
2024-05-08,62312.07,63020.22,60888.0,61193.03,26121.19004,65807.4034,,40.5030276859058
2024-05-09,61193.03,63429.03,60630.0,63074.01,30660.8061,65712.0734,,46.03804928036603
2024-05-10,63074.0,63469.13,60187.12,60799.99,36529.34025,65618.0478,,42.39267857874676
2024-05-11,60799.99,61515.0,60487.09,60825.99,13374.56936,65558.6348,,43.14927617514008
2024-05-12,60825.99,61888.0,60610.0,61483.99,12753.13236,65508.51440000001,,45.820089692795264
2024-05-13,61484.0,63450.0,60749.21,62940.08,32733.41839,65423.116200000004,,47.71514530562449
2024-05-14,62940.09,63118.36,61142.77,61577.49,29088.72041,65257.065800000004,,52.456470749092134
2024-05-15,61577.49,66444.16,61319.47,66206.5,43559.74719,65181.4358,,68.89280377628151
2024-05-16,66206.51,66752.01,64602.77,65235.21,31106.3671,65096.74019999999,,64.6816153819084
2024-05-17,65235.21,67451.2,65106.38,67024.0,26292.23409,65021.6082,,60.902423860520216
2024-05-18,67024.0,67400.01,66600.0,66915.2,14441.25774,64962.9014,,58.35380916853185
2024-05-19,66915.2,67700.0,65857.25,66274.01,18025.30409,64896.738,,56.07553397046474
2024-05-20,66274.0,71515.56,66060.31,71446.62,50816.7011,64900.070199999995,,68.04899237322006
2024-05-21,71446.62,71979.0,69162.94,70148.34,49607.4336,64910.041,,66.75366768291377
2024-05-22,70148.34,70666.0,68842.19,69166.62,27673.18026,64984.0936,,67.14797003101587
2024-05-23,69166.62,70096.12,66312.16,67969.65,40513.17374,65024.221,,60.84768866971319
2024-05-24,67969.66,69250.0,66600.12,68549.99,28095.83664,65025.465,,68.56582699619771
2024-05-25,68549.99,69610.0,68500.0,69290.57,12130.39418,65054.863999999994,,69.60640703855137
2024-05-26,69290.56,69562.23,68128.01,68507.67,11872.11797,65047.09739999999,,66.17527575679969
2024-05-27,68507.67,70687.56,68250.0,69436.43,23136.92737,65048.618200000004,,65.33327542753125
2024-05-28,69436.43,69591.81,67277.91,68398.39,32622.97042,64984.18600000001,,66.34979730844016
2024-05-29,68398.4,68935.68,67124.65,67652.42,23159.83149,64954.3144,,54.258657983157626
2024-05-30,67652.41,69500.0,67128.0,68352.17,28478.2184,64908.7362,,59.329589875903174
2024-05-31,68352.17,69044.1,66670.0,67540.01,26690.32184,64859.411799999994,,51.64041106124271
2024-06-01,67540.01,67900.0,67428.44,67766.85,8837.66133,64872.418399999995,,52.68725258123289
2024-06-02,67766.84,68460.0,67257.47,67765.63,15426.32529,64949.24079999999,,54.904663510923896
2024-06-03,67765.62,70288.0,67612.48,68809.9,29633.374,65012.202000000005,,38.099081044972834
2024-06-04,68809.89,71063.45,68567.32,70537.84,29619.78489,65154.559,,51.692380421048604
2024-06-05,70537.83,71758.0,70383.66,71108.0,28703.18082,65300.851200000005,,58.74818626699952
2024-06-06,71108.0,71700.0,70117.64,70799.06,21842.00449,65491.285,,63.85896372112888
2024-06-07,70799.06,71997.02,68420.0,69355.6,35598.45045,65608.9954,,53.638382836584626
2024-06-08,69355.6,69582.2,69168.02,69310.46,9773.82967,65718.8444,,50.095850340463876
2024-06-09,69310.46,69857.14,69130.24,69648.14,9890.56709,65812.99539999999,,55.74235700122757
2024-06-10,69648.15,70195.94,69172.29,69540.0,17122.66941,65904.9724,,50.56845936917864
2024-06-11,69540.0,69590.01,66051.0,67314.24,41436.01588,65914.8708,,44.73582243336447
2024-06-12,67314.23,69999.0,66905.0,68263.99,37175.32356,65951.87060000001,,52.91190253313669
2024-06-13,68263.98,68449.3,66251.78,66773.01,29079.55571,66001.539,,43.00788846343216
2024-06-14,66773.01,67370.24,65078.0,66043.99,28408.18797,66032.45199999999,,43.32688035827397
2024-06-15,66043.99,66478.48,65857.1,66228.25,11451.80242,66081.6168,,43.11077917239794
2024-06-16,66228.25,66998.7,66034.5,66676.87,9392.52223,66145.9146,,45.31277445041031
2024-06-17,66676.86,67298.81,65130.0,66504.33,27386.16851,66213.6288,,39.2688219288259
2024-06-18,66504.33,66588.23,64060.0,65175.32,42350.10244,66239.8152,,24.07772640876452
2024-06-19,65175.32,65727.54,64666.0,64974.37,20060.79576,66325.8626,,19.25267563977232
2024-06-20,64974.37,66482.94,64559.15,64869.99,24265.29031,66455.963,,19.6557925584127
2024-06-21,64869.99,65066.66,63379.35,64143.56,25993.56442,66557.622,,21.212660146299413
2024-06-22,64143.56,64546.81,63943.82,64262.01,7308.95542,66585.22200000001,,22.340200548544345
2024-06-23,64262.01,64521.0,63178.32,63210.01,8224.45447,66571.58140000001,,17.28688890266443
2024-06-24,63210.01,63369.8,58402.0,60293.3,52161.35414,66497.2074,,13.448484685576389
2024-06-25,60293.3,62420.0,60257.06,61806.01,31189.24361,66470.0238,,26.92561292446844
2024-06-26,61806.01,62487.81,60712.0,60864.99,22485.66463,66441.082,,18.982349409914193
2024-06-27,60864.98,62389.22,60606.63,61706.47,18344.28631,66451.3508,,27.53711345873849
2024-06-28,61706.46,62225.31,60063.0,60427.84,24821.19255,66398.4274,,26.257462677102467
2024-06-29,60427.84,61224.0,60383.77,60986.68,11509.55904,66402.16119999999,,28.52127191382891
2024-06-30,60986.68,63058.76,60712.21,62772.01,17326.30136,66441.0816,,35.578661710915895
2024-07-01,62772.01,63861.76,62497.2,62899.99,24547.10538,66469.4016,,36.64457770610765
2024-07-02,62900.0,63288.83,61806.28,62135.47,18573.11875,66453.3094,,38.24445470527319
2024-07-03,62135.46,62285.94,59400.0,60208.58,32160.11127,66425.9312,,33.74046509914115
2024-07-04,60208.57,60498.19,56771.0,57050.01,54568.77276,66242.8014,,27.92158585532337
2024-07-05,57050.02,57546.0,53485.93,56628.79,81348.24756,66070.673,,28.411230525701924
2024-07-06,56628.79,58475.0,56018.0,58230.13,21651.31558,65894.79560000001,,34.031864899265315
2024-07-07,58230.13,58449.46,55724.37,55857.81,19118.93918,65673.64779999999,,31.808293529748255
2024-07-08,55857.81,58236.73,54260.16,56714.62,48090.2049,65482.46,,40.14010621755092
2024-07-09,56714.61,58296.0,56289.45,58050.0,27732.20788,65214.5276,,39.54941283771639
2024-07-10,58050.0,59470.0,57157.79,57725.85,24951.73799,64966.0778,,40.955290760459306
2024-07-11,57725.85,59650.0,57050.0,57339.89,29761.05735,64729.5432,,37.07954934151736
2024-07-12,57339.89,58526.68,56542.47,57889.1,23652.4569,64527.93220000001,,42.149126821749924
2024-07-13,57889.09,59850.0,57756.63,59204.02,15357.74519,64341.0128,,44.73352398284153
2024-07-14,59204.01,61420.69,59194.01,60797.91,21178.33907,64171.1596,,44.101233717958834
2024-07-15,60797.91,64900.0,60632.3,64724.14,38690.9782,64095.489,,54.44233981007637
2024-07-16,64724.06,65388.97,62373.24,65043.99,42530.52915,64007.640199999994,,57.23990055130896
2024-07-17,65044.0,66128.63,63854.0,64087.99,29567.52954,63921.432199999996,,60.14710305845672
